application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
187,Male,False,3.17,STEM,Hispanic,660.0,0.0,,
188,Male,False,2.96,Humanities,Other,570.0,1.0,Real Estate,Admit
189,Male,False,3.22,Humanities,Black,580.0,3.0,Other,
190,Male,False,3.17,Business,Black,620.0,3.0,Investment Banking,
191,Male,False,3.3,Business,White,670.0,1.0,Consulting,Waitlist
192,Male,True,3.38,STEM,,730.0,0.0,,Admit
193,Female,False,3.24,STEM,Asian,640.0,1.0,Technology,Admit
194,Female,False,3.15,Humanities,Hispanic,610.0,2.0,Other,
195,Female,False,3.39,Humanities,Asian,710.0,2.0,CPG,Admit
196,Female,True,3.05,Humanities,,570.0,2.0,Consulting,Admit
197,Female,False,3.0,Humanities,Asian,570.0,3.0,Consulting,Admit
198,Male,False,3.4,Business,Asian,680.0,3.0,Health Care,Waitlist
199,Female,False,3.45,Business,White,650.0,1.0,Technology,Admit
200,Female,False,3.32,Humanities,Hispanic,660.0,1.0,Health Care,
201,Female,False,3.35,Humanities,Black,750.0,3.0,PE/VC,Admit
202,Female,False,3.24,Humanities,White,660.0,1.0,Technology,Admit
203,Female,False,3.23,Business,White,630.0,3.0,Financial Services,Admit
204,Male,True,3.26,Humanities,,660.0,2.0,Health Care,Admit
205,Female,False,3.24,Humanities,White,640.0,2.0,Nonprofit/Gov,Admit
206,Female,False,3.29,Business,Asian,690.0,1.0,Nonprofit/Gov,Admit
207,Male,False,3.17,Business,Asian,640.0,2.0,PE/VC,
208,Male,False,3.2,STEM,White,620.0,3.0,Financial Services,
209,Male,False,3.14,Humanities,White,610.0,1.0,Other,
210,Male,True,3.52,Humanities,,710.0,1.0,Nonprofit/Gov,
211,Male,False,3.52,Humanities,White,750.0,2.0,PE/VC,
212,Male,False,3.49,Humanities,White,750.0,0.0,,
213,Female,False,3.54,Business,White,710.0,1.0,Financial Services,Admit
214,Female,False,3.53,Humanities,Other,700.0,2.0,PE/VC,Admit
215,Male,False,3.19,Business,Asian,620.0,2.0,Technology,
216,Male,False,3.17,Business,Asian,690.0,1.0,Consulting,
217,Male,True,2.88,Humanities,,630.0,2.0,Consulting,
218,Male,False,3.16,Humanities,Asian,630.0,1.0,Investment Banking,
219,Male,False,3.16,Business,Black,630.0,2.0,PE/VC,
220,Male,False,3.1,Business,Asian,670.0,3.0,Consulting,
221,Male,True,3.15,STEM,,690.0,2.0,Investment Management,
222,Male,False,3.26,Business,Asian,570.0,2.0,Investment Banking,
223,Female,False,3.2,Business,White,690.0,3.0,Consulting,Admit
224,Male,False,3.45,Humanities,Hispanic,700.0,0.0,,
225,Female,False,3.17,Humanities,White,690.0,1.0,Technology,Admit
226,Male,False,3.33,Business,White,660.0,1.0,Nonprofit/Gov,Admit
227,Female,False,3.06,Business,Asian,620.0,2.0,Consulting,Admit
228,Male,False,3.21,STEM,Black,680.0,1.0,Investment Banking,
229,Female,False,3.04,Business,Black,570.0,1.0,Consulting,
230,Female,False,3.39,STEM,Hispanic,650.0,1.0,Consulting,
231,Female,False,3.19,Business,Black,610.0,2.0,Health Care,
232,Female,False,2.93,STEM,Asian,620.0,2.0,Consulting,Admit
233,Male,False,3.45,STEM,White,710.0,1.0,Nonprofit/Gov,
234,Male,False,3.42,STEM,Asian,740.0,3.0,Consulting,Admit
235,Male,False,3.22,Humanities,Black,600.0,0.0,,
236,Female,False,3.42,Humanities,Black,670.0,3.0,Technology,
237,Male,False,3.28,Humanities,Black,570.0,2.0,Consulting,
238,Female,True,3.0,Humanities,,620.0,3.0,Media/Entertainment,Admit
239,Female,False,3.15,STEM,Black,650.0,4.0,Consulting,
240,Male,False,3.44,Humanities,Black,770.0,2.0,Other,Admit
241,Male,False,3.34,STEM,Black,650.0,1.0,Nonprofit/Gov,
242,Male,True,2.99,Humanities,,600.0,2.0,PE/VC,
243,Male,True,3.3,STEM,,640.0,3.0,Technology,
244,Male,False,3.45,STEM,Other,660.0,3.0,Nonprofit/Gov,Admit
245,Male,False,3.38,Business,Asian,670.0,2.0,PE/VC,
246,Male,True,3.23,Humanities,,590.0,1.0,Consulting,
247,Male,False,3.37,Humanities,White,690.0,1.0,CPG,
248,Female,False,3.41,Humanities,Hispanic,710.0,1.0,Other,Admit
249,Male,False,3.35,STEM,Black,720.0,2.0,Other,
250,Male,False,3.38,Humanities,Hispanic,690.0,3.0,Consulting,
251,Male,True,3.23,Humanities,,690.0,2.0,Investment Management,
252,Male,False,3.44,Humanities,White,670.0,1.0,PE/VC,Admit
253,Male,False,3.43,STEM,White,670.0,1.0,Nonprofit/Gov,Admit
254,Male,True,3.31,STEM,,660.0,2.0,Consulting,Admit
255,Male,True,3.39,Humanities,,680.0,1.0,Technology,
256,Male,False,3.32,STEM,Asian,630.0,2.0,Investment Management,
257,Male,False,3.16,Humanities,White,610.0,0.0,,
258,Male,False,3.32,Business,Hispanic,690.0,3.0,Consulting,
259,Male,False,3.28,STEM,Asian,630.0,1.0,Consulting,
260,Female,False,3.25,Business,White,630.0,3.0,Nonprofit/Gov,Admit
261,Male,True,3.2,Business,,610.0,1.0,PE/VC,
262,Male,False,3.22,Business,White,610.0,4.0,Nonprofit/Gov,
263,Female,False,3.01,Humanities,Hispanic,620.0,0.0,,
264,Male,True,3.07,STEM,,620.0,1.0,Investment Banking,
265,Male,False,3.39,Business,Asian,610.0,2.0,PE/VC,
266,Male,False,3.1,Humanities,Black,660.0,2.0,PE/VC,
267,Male,True,3.08,STEM,,630.0,3.0,Technology,
268,Female,False,3.17,Business,White,680.0,2.0,PE/VC,Admit
269,Female,False,3.3,Humanities,Asian,610.0,2.0,Consulting,Admit
270,Male,False,3.39,STEM,Hispanic,740.0,2.0,Consulting,Admit
271,Male,True,3.34,STEM,,690.0,1.0,PE/VC,
272,Male,False,3.11,STEM,White,570.0,1.0,Investment Banking,
273,Male,False,3.3,Humanities,White,700.0,2.0,PE/VC,
274,Male,False,3.22,Humanities,White,670.0,2.0,Health Care,
275,Male,False,3.2,Business,White,600.0,2.0,Nonprofit/Gov,
276,Male,False,3.06,Business,Other,620.0,4.0,Nonprofit/Gov,Admit
277,Male,False,3.3,Business,Black,590.0,2.0,Health Care,
278,Female,False,3.62,STEM,Asian,680.0,2.0,Consulting,Admit
279,Male,True,3.47,Humanities,,740.0,1.0,PE/VC,Admit
280,Female,False,3.33,Humanities,White,650.0,2.0,Financial Services,Admit
281,Female,False,3.31,Humanities,Asian,640.0,3.0,Financial Services,Admit
282,Male,False,3.16,Humanities,White,690.0,2.0,PE/VC,
283,Male,False,3.14,STEM,Hispanic,610.0,3.0,Consulting,
284,Male,True,3.04,Humanities,,650.0,2.0,Consulting,
285,Female,True,3.43,Humanities,,780.0,1.0,PE/VC,Admit
286,Male,False,3.2,STEM,Asian,670.0,3.0,Technology,
287,Male,True,3.26,Humanities,,670.0,1.0,Investment Banking,
288,Male,False,3.3,Humanities,Asian,650.0,2.0,Consulting,
289,Male,False,3.4,STEM,Black,670.0,2.0,Financial Services,Admit
290,Male,True,3.23,Humanities,,700.0,2.0,Consulting,Admit
291,Female,False,3.31,Humanities,Asian,780.0,2.0,Consulting,Admit
292,Male,True,3.04,Business,,630.0,3.0,Investment Banking,
293,Male,False,3.48,Business,Hispanic,590.0,2.0,Other,
294,Male,True,3.48,Business,,650.0,3.0,Other,
295,Male,True,3.17,STEM,,620.0,2.0,Technology,
296,Male,False,3.35,Humanities,Hispanic,720.0,2.0,Consulting,
297,Male,False,2.97,Business,Hispanic,660.0,3.0,CPG,
298,Female,False,3.02,Humanities,White,570.0,3.0,PE/VC,Admit
299,Female,False,3.06,Humanities,Asian,600.0,3.0,Investment Management,Admit
300,Male,False,3.24,Humanities,White,580.0,3.0,PE/VC,
301,Female,True,3.05,STEM,,580.0,4.0,Consulting,Admit
302,Male,False,2.91,Humanities,White,690.0,2.0,Technology,
303,Male,False,3.05,STEM,White,570.0,1.0,Financial Services,
304,Female,False,3.21,STEM,Asian,660.0,2.0,Investment Banking,Admit
305,Female,False,3.34,Business,Asian,670.0,2.0,Nonprofit/Gov,Admit
306,Male,True,3.27,STEM,,620.0,2.0,PE/VC,
307,Male,False,3.15,Humanities,Asian,640.0,1.0,PE/VC,
308,Male,True,3.1,Business,,650.0,2.0,PE/VC,
309,Female,False,3.59,Humanities,Asian,690.0,3.0,Consulting,Admit
310,Male,False,2.92,STEM,Black,570.0,3.0,PE/VC,
311,Female,False,3.59,Humanities,Asian,670.0,3.0,PE/VC,Admit
312,Male,True,3.26,STEM,,650.0,2.0,Technology,
313,Male,False,3.53,Humanities,Other,710.0,4.0,Real Estate,Admit
314,Male,False,3.33,STEM,Other,730.0,3.0,Technology,Admit
315,Female,False,3.27,STEM,Asian,670.0,1.0,Other,Admit
316,Male,False,3.33,Business,White,730.0,1.0,Investment Banking,
317,Male,False,3.22,STEM,Black,570.0,1.0,Investment Banking,
318,Female,False,3.19,Humanities,Black,640.0,2.0,Consulting,
319,Male,False,3.32,Humanities,White,670.0,3.0,Consulting,
320,Female,False,3.37,Business,Black,660.0,0.0,,Admit
321,Female,True,3.42,Business,,650.0,1.0,Investment Banking,Admit
322,Female,False,3.24,Business,Asian,690.0,1.0,Consulting,Admit
323,Male,False,3.39,Business,Asian,690.0,2.0,PE/VC,Admit
324,Male,True,3.23,Business,,630.0,1.0,Technology,
325,Male,False,3.15,Business,Asian,640.0,1.0,Nonprofit/Gov,
326,Male,True,3.37,STEM,,630.0,2.0,Real Estate,
327,Male,True,3.34,Humanities,,650.0,1.0,Other,
328,Female,False,3.24,Business,Black,580.0,1.0,Consulting,
329,Male,True,3.11,Business,,610.0,1.0,Technology,
330,Female,True,3.47,Business,,760.0,2.0,Other,Admit
331,Male,False,3.23,Humanities,White,650.0,1.0,Consulting,
332,Female,False,2.93,STEM,White,650.0,3.0,Investment Banking,Admit
333,Male,False,3.3,Humanities,Asian,680.0,2.0,Investment Banking,Admit
334,Female,False,2.96,STEM,Black,620.0,3.0,PE/VC,
335,Male,True,3.29,Humanities,,690.0,3.0,Consulting,Admit
336,Male,False,2.98,Humanities,Hispanic,620.0,1.0,Nonprofit/Gov,
337,Female,False,3.02,Humanities,Hispanic,650.0,2.0,Technology,
338,Male,False,3.07,Humanities,Asian,570.0,3.0,Consulting,
339,Male,False,3.14,Humanities,White,570.0,0.0,,
340,Female,True,3.2,STEM,,640.0,2.0,Consulting,Admit
341,Male,True,3.17,STEM,,620.0,1.0,Consulting,
342,Female,False,3.27,Humanities,Hispanic,690.0,2.0,PE/VC,Admit
343,Male,False,3.23,STEM,Black,650.0,2.0,Other,
344,Male,False,3.31,Business,Black,680.0,2.0,Other,Admit
345,Male,False,3.29,Business,White,680.0,2.0,Consulting,Admit
346,Male,False,3.31,STEM,Black,750.0,2.0,Other,
347,Male,False,3.24,STEM,White,710.0,1.0,Consulting,Admit
348,Female,True,3.2,Humanities,,690.0,0.0,,Admit
349,Female,False,3.17,STEM,Hispanic,650.0,3.0,Consulting,
350,Male,True,3.29,Humanities,,620.0,2.0,Health Care,
351,Male,False,3.47,Business,Asian,750.0,-0.0,,
352,Male,False,3.19,STEM,Hispanic,690.0,4.0,CPG,
353,Male,True,3.09,Business,,580.0,5.0,PE/VC,
354,Male,False,3.02,STEM,Hispanic,600.0,1.0,Technology,
355,Female,True,3.29,STEM,,630.0,1.0,Consulting,Admit
356,Male,False,3.23,Humanities,Asian,670.0,2.0,Financial Services,
357,Male,True,3.05,STEM,,650.0,1.0,Investment Banking,
358,Female,True,3.48,STEM,,680.0,1.0,Other,Admit
359,Male,False,3.18,Business,Other,650.0,2.0,Health Care,Waitlist
360,Female,False,3.48,Humanities,White,690.0,1.0,Consulting,Admit
361,Male,True,3.2,STEM,,640.0,2.0,Consulting,
362,Male,False,3.33,Humanities,Black,730.0,0.0,,
363,Male,True,3.19,Humanities,,610.0,3.0,PE/VC,
364,Male,False,3.35,Business,White,730.0,1.0,Investment Banking,
365,Male,False,3.24,Humanities,Hispanic,630.0,3.0,Nonprofit/Gov,
366,Male,True,3.31,Humanities,,650.0,3.0,Financial Services,
367,Male,True,3.36,Business,,650.0,2.0,Consulting,
368,Male,False,3.49,STEM,White,660.0,4.0,Consulting,
369,Male,True,3.38,STEM,,680.0,2.0,PE/VC,Admit
370,Male,False,3.18,Business,White,760.0,2.0,Consulting,
371,Male,True,3.31,STEM,,720.0,1.0,Technology,Admit
372,Female,False,3.38,STEM,White,670.0,3.0,Nonprofit/Gov,Admit
373,Female,True,3.02,Humanities,,570.0,4.0,Technology,Admit
374,Male,False,3.25,Business,Asian,710.0,2.0,PE/VC,
375,Male,True,3.31,STEM,,640.0,3.0,Health Care,
376,Female,True,3.28,STEM,,700.0,2.0,Investment Banking,Admit
377,Female,False,3.11,STEM,White,610.0,2.0,Consulting,Admit
378,Male,False,3.19,Business,White,600.0,0.0,,
379,Male,False,3.01,Humanities,Hispanic,700.0,2.0,Technology,
380,Male,True,3.25,Humanities,,610.0,3.0,PE/VC,
381,Male,True,3.4,Business,,700.0,1.0,Health Care,
382,Male,False,3.42,STEM,Asian,660.0,-0.0,,
383,Male,False,3.28,Humanities,White,630.0,3.0,Technology,
384,Male,False,3.3,STEM,Other,610.0,2.0,Nonprofit/Gov,Waitlist
385,Male,True,3.15,Humanities,,590.0,2.0,Consulting,
386,Female,False,3.35,Business,Black,640.0,2.0,PE/VC,
387,Male,True,3.35,Humanities,,660.0,4.0,PE/VC,
388,Male,False,3.13,STEM,Hispanic,620.0,3.0,Consulting,
389,Female,True,3.28,Humanities,,640.0,3.0,Technology,Admit
390,Female,False,3.22,Humanities,Black,700.0,2.0,Nonprofit/Gov,Admit
391,Male,True,2.99,Humanities,,630.0,3.0,Consulting,
392,Male,False,2.9,STEM,Other,610.0,3.0,Consulting,
393,Male,True,3.11,STEM,,570.0,2.0,Media/Entertainment,
394,Male,False,3.0,Humanities,Asian,580.0,1.0,PE/VC,
395,Male,False,3.0,STEM,Hispanic,570.0,2.0,Real Estate,
396,Male,False,3.35,Business,Other,650.0,2.0,Investment Banking,
397,Male,False,3.21,STEM,White,600.0,2.0,Consulting,
398,Female,False,3.17,Humanities,Asian,630.0,1.0,Consulting,Admit
399,Female,False,2.97,STEM,Black,570.0,1.0,Nonprofit/Gov,
400,Male,False,3.15,Humanities,Black,590.0,2.0,Financial Services,
401,Male,False,3.0,Humanities,White,630.0,4.0,Financial Services,
402,Male,False,3.23,STEM,Black,640.0,2.0,Financial Services,
403,Female,False,3.18,Humanities,Asian,580.0,2.0,Technology,Admit
404,Male,False,3.28,Humanities,Other,720.0,2.0,Consulting,Admit
405,Female,True,3.0,Humanities,,610.0,3.0,Investment Banking,Admit
406,Female,False,3.06,STEM,Other,670.0,2.0,PE/VC,Admit
407,Male,True,3.11,Humanities,,650.0,3.0,PE/VC,
408,Male,False,3.42,STEM,Hispanic,610.0,2.0,Health Care,
409,Female,False,3.26,Humanities,Hispanic,660.0,1.0,Consulting,
410,Male,False,3.09,Humanities,White,600.0,2.0,Technology,
411,Male,False,3.27,Humanities,Asian,630.0,2.0,Consulting,
